선불식할부거래사업자정보																																					
																																					
회사정보													판매품목(현재 시판중인 주요 3개 품목)						재무현황												선수금현황						
상호	대표자성명	선불식할부거래업등록번호	선불식할부거래할부거래등록일	법인등록번호	사업자등록번호	법인 소재지	영업소 소재지	전화번호	전자우편주소	영업상태	영업개시일	등록취소 및 폐업일자	상품명1	가격 및 지급방법1	상품명2	가격 및 지급방법2	상품명3	가격 및 지급방법3	자산(원)			부채(원)			자본총계	자본금	지급여력비율(%)		부채비율(%)		총선수금(원)	보전비율(%)	선수금보전 계약				
[폐업](주)한동라이프	민 *  * 	대구-2011-29호	20110303	2301110140754	610-81-91063	대구 중구 삼덕동2가 210-1 진석타워 1605호	대구 중구 삼덕동2가 210-1 진석타워 1605호	052-271-0042	pos*****@naver.com	폐업		20130725	일반형	180만원(30,000×60)	골드형	240만원(40,000×60)	럭셔리형	360만원(60,000×60)	0	0	0	0	0	0	0	300,000,000		100		100	54,855,000	20	우리은행	예치계약	10,971,000		
[직권말소]우리상조(주)	김 *  * 	광주-2011-제6호	20110317	2001110255822	410-86-17584	광주광역시 광산구 풍영정길 65-1	상동	062-953-4444	yjy****@daum.net	폐업	20080229	20190220	실버형	수의(대마100%: 중국원단, 기계직), 오동나무1단관(0.6치/1.8cm, 원산지 중국), 장의버스, 도우미2명, 검정양복, 여상복,영좌꽃장식(바구니 2개), 장례지도사	골드형	360만원 수의(대마100%: 중국원단, 기계직), 오동나무2단관(1치/2.7cm, 원산지 중국), 장의버스, 도우미4명, 검정양복, 여상복,영좌꽃장식(낱개2개,바구니 2개), 장례지도사	VIP형	480만원 수의(대마100%: 중국원단, 기계직), 향나무관(1.5치/4.2cm, 원산지 중국), 장의버스, 도우미6명, 검정양복, 여상복,영좌꽃장식(낱개4개,바구니 2개), 장례지도사	496,617,663	40,004,000	536,621,663	305,971	331,110,000	331,415,971	205,205,692	300,000,000	161	100	62	100	331,720,000	17	국민은행	예치계약	54,985,104	국민은행(용봉동지점)	062-531-0293
[직권말소]로얄라이프(주)[(주)좋은세상으로 흡수합병]	조 *  * 	2011-강원-7호	20110412	1401110030631	221-81-27264	강원도 춘천시 영서로2291번길 16	강원도 춘천시 영서로2291번길 16	1588-5569	cho****@naver.com	폐업	20060302	20190128	ROYAL 696	696만원(월12만원*58회) 수의(대마,국내산), 관(오동나무, 중국산), 리무진(전국무료), 상복(남,여:직계제공)					243,341,917	428,978,840	736,708,377	201,752,334	2,538,396,054	2,740,148,388	-2,003,440,011	300,000,000	18	100	372	100	711,721,372	50	신한은행	예치계약	355,860,686		
[등록취소](주)샤론엠파이어	김 *  * 	대전-2010-제8호	20101206	1601110267339	305-86-01077	대전시 대덕구 한밭대로 1201(충리동) 402호	좌동	042-627-9975	kal******@naver.com	등록취소	20091216		패밀리(화장용)	292만원(40,000원*73회)화장용관, 오동1.5횡대, 25인승(20km)	샤론	390만원(50,000원*78회)오동관(1,5치), 35인승(50km무료)	샤론골드	600만원(50,000원*100회)오동2단관(1.5치), 45인승(100km무료)	269,568,014	17,423,453	286,991,467	1,309,364	0	1,309,364	285,682,103	300,000,000	295	100	0	100	167,440,000	2	국민은행	예치계약	3,507,692	국민은행(대전 중부지점)	042-254-0658
[등록취소]온라이프㈜[구, 온복지라이프㈜]	김 *  * 	울산2014-제11호	20110330	1801110750140	605-86-05293	울산광역시 남구 번영로201번길 35-1	울산광역시 남구 번영로201번길 35-1	1800-6201	err********@hanmail.net	등록취소	20110310		on180	180만원(월1.5만원*120회) 장의, 웨딩, 돌, 칠순 및 팔순	on240	240만원(월2만원*120회) 장의	on360	360만원(월3만원*120회) 장의, 웨딩	556,376,583	12,173,584	568,550,167	27,147,573	518,096,416	545,243,989	23,306,178	400,000,000	103	100	96	100	845,881,000	6	국민은행	예치계약	48,157,279	국민은행(부산역지점)	051-209-8036
[등록취소]보성라이프(주)	유 *  * 	서울-2010-제30호	20101013	1101113368910	212-81-74273	서울시 강동구 천호대로 1186, 2층(둔촌동, 원경빌딩)	서울시 강동구 천호대로 1186, 2층(둔촌동, 원경빌딩)	1588-9449	bos***@insfamily.com	등록취소			가족사랑 240	240만원 ( 월2만원 X 120회 ) 수의(대마, 제조:국내산) 관(오동나무,중국산) , 리무진 500km 편도 or 버스 왕복 500km 택일	가족사랑 360	360만원 ( 월3만원 X 120회 ) 수의(대마, 제조:국내산) 관(오동나무,중국산) , 리무진 300km 편도 및 버스  300km 왕복	가족사랑 480	480만원 ( 월4만원 X 120회 ) 수의(대마, 제조:국내산) 관(오동나무,중국산) , 리무진 500km 편도 및 버스 500km 왕복	3,541,911,184	441,437,841	3,983,349,025	4,336,960,928	8,000,000	4,344,960,928	-361,611,903	300,000,000		100	109	100	4,709,025,878	16	우리은행	예치계약	735,859,747		
[폐업]한국협동상조(주)	오 *  * 	대전-선불식할부거래업-14	20110317	1601110191562	314-81-75049	대전 동구 삼성동  294-1번지 대일빌딩 5층	대전 동구 삼성동  294-1번지 대일빌딩 5층	042-635-8301	yub******@naver.com	폐업		20130701							0	0	0	0	0	0	0	300,000,000		100		100	0	0	우리은행	예치계약	0		
[직권말소](주)하늘지기장례토탈서비스	전 *  * 	서울-2010-제50호	20101116	1101113674086	105-87-09438	서울특별시 강남구 테헤란로8길 33	서울특별시 강남구 테헤란로8길 33	1544-4526	han*******@daum.net	폐업	20070518	20190308	골드형	398만원(회원가입비98만원, 행사 이행과 동시에 300만원) 수의(대마,원산지:중국산,제조:국내산) 관(오동나무,중국산) 리무진(전국무료 등)					238,290,091	3,785,066	242,075,157	170,716,691	2,309,562,968	2,480,279,659	-2,238,204,502	300,000,000	2	100	1025	100	2,289,404,908	0	국민은행	예치계약	3,553,338	국민은행 성산동 지점	1588-9999
㈜좋은세상[구, ㈜새마을상조복지]	조 *  * 	경기(2)-2010-02	20101129	2850110162747	128-86-41531	경기도 안양시 만안구 박달로 406	경기도 안양시 만안구 박달로 406	1588-6550	joe***********@naver.com	정상영업	20090830		VIP 735	735만원(계약금 15만원+12만원X60회)  수의(대마,국내산), 관(오동나무,중국산), 리무진(전국무료), 도우미4명(1일8시간)					854,800,960	4,934,523,067	5,789,324,027	158,522,519	8,936,614,430	9,095,136,949	-3,305,812,922	1,500,300,000	-1478	100	157	100	209,444,846	50	우리은행	예치계약	104,722,423	우리은행(대화지점)	031-918-0541
[폐업](주)드림상조종합이벤트	백 *  * 	경기-2010-06호	20101102	1348110166208	124-86-73399	경기도 오산시 경기대로25번길 14	상 동	031-378-4424	cco******@naver.com	폐업	20081119	20190124	드림300	300만원(3만원*100회) 회갑, 칠순, 장례 中 택1	드림360	360만원(4만원*90회) 수의(원산지중국) 제조(한국대마 100%) 리무진(200Km이내 무료)등	드림450	450만원(5만원*90회) 수의(원산지중국) 제조(한국대마 100%) 리무진(300Km이내 무료)등	378,514,546	28,901,735	407,416,281	264,478,543	0	264,478,543	142,937,738	300,000,000	175	100	65	100	153,420,000	53	우리은행	예치계약	81,401,000		
[폐업]삼성상조㈜	이 *  * 	부산-2010-제7호	20101027	1801110185305	605-81-22297	부산광역시 부산진구 중앙대로702번길 43	상동	051-816-8260	son******@hanmail.net	폐업	19950714	20161128	일반형	350만(5만x70) 수의(대마/중국산),관(오동나무/중국산),장의차보조금	골드형	480만(8만x60) 수의(대마/중국산),관(향나무/중국산),장의차보조금	프리미엄형	600만(10만x60) 수의(대마/중국산),관(향나무/중국산),장의차보조금	1,323,758,116	590,868,149	1,914,626,265	2,478,574,675	0	2,478,574,675	-563,948,410	300,000,000	83	100	129	100	3,240,740,000	50	상조보증공제조합	공제계약	1,620,370,000		
[등록취소]㈜제일상조	정 *  * 	경기-2010-제02호	20101005	1101113561663	120-87-08118	경기도 하남시 서하남로451번길 13-23	상 동	1577-4464	aur***@naver.com	등록취소	20061124		황제4품 192상품	192만원(20,000원*96회) 수의(대마, 중국(명주고급,중국산) 관(오동나무, 중국산), 버스(관내무료)	황제4품 276상품	276만원(30,000원*92회) 수의(대마, 중국산) 관(오동나무, 중국산) 버스, 리무진(택1 200km이내무료)	황제4품 396상품	396만원(30,000원*132회) 수의(대마, 중국산) 관(오동나무, 중국산) 버스, 리무진(왕복300km이내무료)	2,621,056,965	1,186,594,446	3,807,651,411	5,113,295,042	0	5,113,295,042	-1,305,643,631	300,000,000	58	100	134	100	3,845,972,000	50	상조보증공제조합	공제계약	1,922,986,000	상조보증공제조합	1600-1226
[등록취소](주)AS상조	김 *  * 	강원-제1호	20120629	1411110030086	226-81-36619	강원도 강릉시 율곡로 3034 (교동)	상동	1566-8414	tpr******@nate.com	등록취소	20070501		수퍼클래스	480만원(4만*120회) 수의(대마,중국산) 관(오동나무,중국산),리무진(전국무료),버스(전국무료)	AS360	360만원(3만*120회) 수의(대마,중국산) 관(오동나무,중국산),리무진(300km),버스(300km)			7,917,685,204	4,395,002,635	12,312,687,839	899,836,092	16,524,193,105	17,424,029,197	-5,111,341,358	350,000,000	66	100	142	100	15,078,828,193	50	한국상조공제조합	공제계약	7,539,414,096		
[직권말소]아너스라이프(주)[구,(주)이앤라이프,(주)애경사복지원]	최 *  * 	서울-2011-제102호	20110329	1101113340918	212-81-73745	서울특별시 강남구 삼성로81길 39	서울특별시 강남구 삼성로81길 39	1644-3349	adi***@naver.com	폐업	20051111	20190308	실버	180만원 (20,000원*90회),수의(저마,중국산), 관(오동나무,중국산), 차 100km	골드	240만원 (30,000원*80회),수의(대마,중국산), 관(오동나무, 중국산), 차 200km	로얄	360만원 (40,000원*90회),수의(대마,중국산), 관(오동나무,중국산), 차 400km	218,498,432	59,775,993	278,274,425	0	19,260,000	22,080,000	256,194,425	300,000,000	1445	100	8	100	9,858,000	100	신한은행	예치계약	9,901,810	신한은행 (풍납동지점)	02-479-0177
[폐업](주)위드라이프그룹[구.(주)한강상조]	오 *  * 	서울-2010-제62호	20101224	1101113346205	212-81-73804	서울특별시 송파구 올림픽로35다길 32	서울특별시 송파구 올림픽로35다길 32	1688-2877	adm**@with-life.com	폐업	20051123	20241104	480만원형	480만원(3만원 x160회) 수의(대마, 중국산), 관(오동나무, 중국산), 리무진(화장장까지 무료), 버스(거리제한없음)	396만원형	396만원(3만원x132회) 수의(저마, 중국산), 관(오동나무, 중국산), 리무진/버스 중 택일(왕복 200km)	264만원형	264만원(2만원x132회) 수의(저마, 중국산), 관(오동나무, 중국산), 리무진/버스 중 택일(왕복 60km)	801,966,820	21,949,559,790	22,751,526,610	1,000,241,985	49,507,164,863	50,507,406,848	-27,755,880,238	2,440,000,000	44	100	222	100	37,162,423,780	50	상조보증공제조합	공제계약	18,581,211,890	상조보증공제조합	1600-1226
[등록취소](주)이화상조	서 *  * 	경남2010-제05호	20101020	1911110032834	613-81-37127	경남 진주시 진양호로 427-1, 2층	상동	1577-2008	yih******@nate.com	등록취소	20050401		480만원 상품	480만원(4만원*120회) 장의서비스, 웨딩서비스, 돌상품, 칠순상품	396만원 상품	396만원(33천원*120회) 장의서비스, 웨딩서비스, 돌상품, 칠순상품	288만원 상품	288만원(24천원*120회) 장의서비스, 웨딩서비스, 돌상품, 칠순상품	4,070,242,459	3,556,606,847	7,626,849,306	14,776,526,921	400,000,000	15,176,526,921	-7,549,677,615	300,000,000	41	100	199	100	12,570,643,949	50	한국상조공제조합	공제계약	6,285,321,975	한국상조공제조합	1688-0972
더좋은라이프(주)[구, 우림종합상조(주), 우림라이프(주)]	최 *  * 	서울-2010-제41호	20101027	1101113878951	113-86-21120	서울특별시 영등포구 선유동2로 64	상동	1644-7934	wsj****@nate.com	정상영업	20080510		더좋은하이브리드698	300만원(2,000x60회+16,000x180회) 수의(대마, 중국), 관(오동나무), 고인전용리무진 전국무료(1차 장지) 등	더좋은라이즈498	300만원(0x60회+15,000x200회) 수의(대마, 중국), 관(오동나무), 고인전용리무진 전국무료(1차 장지) 등	더좋은통신결합240	120만원((0x36회+10,000x120회) 수의(대마, 중국), 관(오동나무), 고인전용리무진 전국무료(1차 장지) 등	28,888,416	1,434,808,344	1,463,696,760	60,438,166	2,054,623,562	2,115,061,728	-651,364,968	1,500,000,000	59	100	145	100	1,680,458,600	50	신한은행	예치계약	840,229,300	신한은행 구로디지털금융센터	02-2108-6410
제이에이치라이프(주)[구,주현의료법인상조(주)]	주 *  * 	부산-2015-43호	20100917	1101113337436	108-81-72942	부산광역시 부산진구 개금온정로 5	상동	1644-0866	k4s***@nate.com	정상영업	20051107		450상품	450만(월45,000*100회) 수의(대마,중국), 관(오동나무,중국), 도우미5명, 리무진+버스 전국무료	450상품	450만(월30,000원*150회) 수의(대마,중국), 관(오동나무,중국), 도우미5명, 리무진+버스 전국무료			21,502,156	3,760,496,398	3,781,998,554	7,199,605,044	5,259,837,950	12,459,442,994	-8,677,444,440	1,500,000,000	-66	100	329	100	5,148,171,950	50	한국상조공제조합	공제계약	2,574,085,975	한국상조공제조합	1688-0972
[등록취소](주)상조서비스 사임당	박 *  * 	제주-2010-제2호	20101020	2201110063213	616-81-63191	제주 제주시 삼도1동	제주 제주시 삼도1동	1588-4044	dhe***@hanmail.net	등록취소			고급형1	360만원(월3만원*120회),수의(대마,중국),관(오동,중국),리무진(전국무료) 등	명품형	480만원(월4만원*120회),수의(대마,중국),관(솔송,중국),리무진(전국무료) 등	고급형2	390만원(월3만원*130회),수의(대마,중국),관(오동,중국),리무진(400km무료)등	675,501,407	69,266,980	744,768,387	1,556,911,302	0	1,556,911,302	-812,142,915	450,000,000		100	209	100	994,510,000	8	우리은행	예치계약	81,600,000		
(주)소노스테이션(구.(주)대명스테이션(주)대명라이프웨이, 기안라이프웨이)	최 *  * 	강원-2021-제1호	20101224	1101114488816	220-88-09321	강원도 홍천군 서면 한치골길 262	강원도 홍천군 서면 한치골길 262	1588-8511	imr****@daemyungsono.com	정상영업	20101210		프라임라이프 297	282만원 (18000원*150회) 관(오동나무), 수의(대마100%), 리무진, 버스(왕복200km) 택1, 장례도우미 3인, 대명상품권 5만원 제공(13회차)	프라임라이프 399	375만원 (25000원*150회)  관(오동나무), 수의(대마100%), 리무진, 버스(왕복200km), 장례도우미 4인,  일회용식기(150인), 편의용품 제공, 대명상품권 10만원 제공(12회차)	프라임라이프 498	465만원 (31000원*150회) 관(오동나무), 수의(대마100%), 리무진, 버스(왕복300km), 장례도우미 4인,  일회용식기(300인), 편의용품 제공, 대명상품권 15만원 제공(12회차)	274,777,407,273	1,010,125,708,600	1,284,903,115,873	22,391,330,239	1,485,327,582,875	1,507,718,913,114	-222,815,797,241	10,000,000,000	84	100	117	100	1,475,626,132,182	50	상조보증공제조합/sh수협은행	공제계약/지급보증	737595183331/217882760	상조보증공제조합, sh수협은행 영등포금융센터	1600-1226, 02-2676-9710
(주)예사랑라이프	박 *  * 	경기-2011-08	20110316	1211110185968	130-86-42101	경기도 부천시 부일로 226	경기도 부천시 부일로 226	032-329-0080	ysr****@naver.com	정상영업	20090427		통합 264	264만원(2만원*132회) 수의(저마, 중국산), 관(오동나무, 중국산), 리무진(왕복 100km)	통합 396	396만원(3만원*132회) 수의(대마, 중국산), 관(오동나무, 중국산), 리무진(왕복 200km)	예사랑 450	450만원(1만8천원*250회) 수의(대마, 중국산), 관(오동나무, 중국산), 리무진(왕복 200km)	4,633,925,768	636,470,287	5,270,396,055	4,999,046,429	1,226,699,700	6,225,746,129	-955,350,074	1,500,000,000	22	100	118	100	1,263,882,700	50	신한은행	예치계약	631,941,350	신한은행 부천기업금융센터	032-654-4600
㈜웅진프리드라이프(구.(주)프리드라이프)	문 *  * 	서울-2010-제4호	20100929	2301110083681	610-81-56858	서울특별시 중구 세종대로 14	상동	1588-3740	adm**@preed.co.kr	정상영업	20020221		늘사랑	495만원(1만5천원*330회) 관(오동나무관) 수의(대마100%) 리무진 및 장의버스(전국무료) 등	웅진프리드450	450만원(3만원*150회/18,750원*240회) 관(오동나무관)수의(대마100%) 리무진 및 장의버스(왕복 300km 이내 무료) 등	웅진프리드540	540만원(3만6천천원*150회/월22,500원*240회)  관(오동나무관)수의(대마100%) 리무진 및 장의버스(전국무료) 등	406,577,926,467	2,875,697,712,844	3,282,275,639,311	55,292,129,560	2,975,778,744,925	3,031,070,874,485	251,204,764,826	8,036,230,000	108	100	92	100	2,973,423,161,596	51	부산은행/IM뱅크(구.대구은행)/수협은행/IBK기업은행/하나은행/신한은행/신한은행/우리은행/우리은행/국민은행	지급보증/지급보증/지급보증/지급보증/지급보증/지급보증/예치계약/지급보증/예치계약/지급보증	18000000000/418000000000/150000000000/97000000000/227000000000/175000000000/17108717869/300000000000/82172891483/19456725902	우리은행(여의도북지점), 신한은행(여의도금융센터), 수협은행(강남기업금융본부), 하나은행(영업1부), IM뱅크(성남영업부), 기업은행(평촌범계역지점), 국민은행(대기업1센터2부), 부산은행(서울금융센터)	02-785-7100, 02-786-2284,02-2002-1126, 031-429-4062, 02-2051-8315, 031-8085-0646, 02-2073-2921,02-785-6124
[직권말소](주)동행라이프[구,㈜신두레상조]	강 *  * 	광주-2016-제1호	20160412	1313110035167	125-81-35826	광주광역시 북구 금남로115번길 31	상 동	1899-3611	rkd*********@hanmail.net	폐업	20010201	20190220	동행396	396만원(39,600*100회) 수의(대마,중국산) 관(오동나무,중국산), 리무진 200km이내 무료제공	동행496	496만원(49,600*100회) 수의(대마,중국산) 관(오동나무,중국산), 리무진 400km이내 무료제공	동행396	396만원(39,600*100회) 결혼 및 크루즈여행	330,287,541	90,225,814	420,513,355	756,409	0	756,409	419,756,946	300,000,000	486	100	0	100	101,588,800	49	우리은행	예치계약	50,278,000	우리은행(광주지점)	062-223-4341
(주)더피플라이프[구.금강종합상조(주)]	차 *  * 	서울-2010-제46호	20101102	1101113304419	105-86-83519	서울특별시 마포구 신촌로12길 4	서울특별시 마포구 신촌로12길 4	1588-4471,1577-3411	inf*@thepeoplelife.co.kr	정상영업	20051001		더피플600	480만원(18,000x266회+12,000) 수의(대마, 원산지: 중국, 제조지역: 한국), 관(오동나무, 중국산), 리무진/버스 (전국 무료제공) 등	더피플520	450만원(18,000x250회) 수의(대마, 원산지: 중국, 제조지역: 한국), 관(오동나무, 중국산), 리무진/버스 (전국 무료제공) 등	더피플450	390만원(15,000x260회) 수의(대마, 원산지: 중국, 제조지역: 한국), 관(오동나무, 중국산), 리무진/버스 (전국 무료제공) 등	126,691,239,930	244,133,411,338	370,824,651,268	3,877,085,348	380,120,679,367	383,997,764,715	-13,173,113,447	1,500,000,000	96	100	104	100	389,411,666,975	50	상조보증공제조합/상조보증공제조합	공제계약(여행상품)/공제계약(상조상품)	113050000/194592783487		
[등록취소](주)신한라이프	이 *  * 	경남-2010-제09호	20101213	1801110341626	607-81-51575	경상남도 창원시 마산회원구 3·15대로 679-1	경상남도 창원시 마산회원구 3·15대로 679-1	1644-4427	aeg******@naver.com	등록취소	20001111								42,005,626	5,000,000	226,077,800	88,020,375	0	88,020,375	138,057,425	300,000,000	-738	100	39	100	4,894,692	100	국민은행	예치계약	4,894,692	국민은행(마산역지점)	055-296-4330
[폐업](주)한국기독상조	이 *  *  *  *  *  * 	서울-2011-제77호	20110228	1101114162551	114-86-75240	서울특별시 서초구 동광로3길 106	상 동	1577-4491	ghy*****@naver.com	폐업	20090820	20181011	VIP Silver	300만원(3만원*100회) 수의(대마, 중국산), 관(오동나무, 중국산), 리무진(왕복200Km이내 무료제공) 등	VIP Gold	360만원(3만원*120회) 수의(대마, 중국산), 관(오동나무, 중국산), 리무진(전국무료) 등	VIP Premium	480만원(4만원*120회) 수의(대마, 중국산), 관(은행나무, 국내산), 리무진(전국무료) 등	404,882,614	67,962,019	472,844,633	682,975,000	0	682,975,000	-210,130,367	300,000,000	70	100	144	100	705,906,750	59	우리은행	예치계약	417,629,000	우리은행(방배본동지점)	02-592-6671
[폐업](주)낙원종합상조	전 *  * 	서울-2010-제36호	20150508	1101111871379	204-81-47187	성북구 정릉로 21가 길15, 401호	상 동	1588-9417	ese****@naver.com	폐업	20090826	20160120	효에머랄드	360만원(3만원*120) 수의대마(중국산), 관(오동나무, 중국산), 리무진 버스(200km)	효다이아몬드	540만원(4만5천원*120) 수의대마(중국산), 관(2단오동나무), 리무진 버스(전국무료)			341,831,435	46,193,000	388,024,435	209,146,464	20,000,000	229,146,464	158,877,971	300,000,000	192	100	59	100	172,437,000	50	신한은행	예치계약	86,827,500	신한은행(정릉지점)	02-918-9641
[폐업](주)상부상조[구,(주)다은라이프]	이 *  * 	부산-2011-제26호	20110308	1801110537134	605-81-75173	부산광역시 부산진구 동평로 168	상 동	051-867-4202	kbs**@hanmail.net	폐업	20091101	20170420	상부상조 240	240만원(월3만X80회)  오동나무관, 진삼베수의, 버스	상부상조 360	360만원(월3만X120회) 오동나무관, 대마수의, 버스	상부상조 480	480만원(월4만X120회)  오동나무관, 고급대마수의, 버스	99,121,725	9,290,000	108,411,725	298,428,979	0	298,428,979	-190,017,254	300,000,000	4	100	275	100	189,929,000	54	신한은행	예치계약	103,327,000	신한은행(동래지점)	051-557-3491
㈜아이넷라이프[구, 새하늘상조]	이 *  * 	서울-2011-제86호	20110315	1341110152813	138-81-39828	서울특별시 서초구 양재천로11길 34	서울특별시 서초구 양재천로11길 34	1800-9001,1577-4244	ine*****@daum.net	정상영업	20070425		고급형	399만원(39,900*100회) 수의(대마, 원사-중국/제조-국내), 관(오동나무, 중국산), 버스(300km이내 무료제공), 리무진(300km이내 무료제공), 도우미(50시간) 등					1,271,378,196	8,882,582,302	10,153,960,498	154,108,615	8,707,508,211	8,861,616,826	1,292,343,672	2,010,000,000	115	100	87	100	8,195,561,700	50	우리은행	예치계약	4,132,830,350	우리은행(양재남금융센터)	02-579-1840
[폐업](주)스카이뱅크상조	이 *  * 	대전-선불식할부거래업-11	20110223	1601110208359	314-81-82967	대전 서구 갈마로 178 4층	대전 서구 갈마로 178 4층	042-535-8718	don***@hanmail.net	폐업		20130903	sky(g)	(후불)화장598만원/매장698만원-안치실,염습실,분향실(30평),리무진(도서지방별도),수의(겉감:레이온사(러시아)안감:대마(중국산)제직(국내))	sky(sd)	(후불)화장498만원/매장598만원-분향실(30평),리무진(도서지방별도) 수의(별도)	이장,화장,벌초	120만원/50만원/10만원-이장:포크레인,인부2인	494,233,411	595,949,819	1,090,183,230	1,514,626,788	60,864,170	1,575,490,958	-485,307,728	300,000,000		100	145	100	195,680,000	32	우리은행	예치계약	62,972,939		
[등록말소]샘라이프상조(주)[우림라이프(주)로 흡수합병]	김 *  * 	경기-2010-10호	20101005	1341110195912	123-86-23974	경기도 고양시 일산동구 성현로377번길 128-4	상 동	1588-9059	sin*******@hanmail.net	폐업	20100921	20190125	샘라이프360	360만(월3만원*120회) 수의(대마,중국), 관(오동나무,중국), 생화제단꽃, 리무진(200km 이내 무료), 대형장의버스 등	샘라이프480	480만(월4만원*120회) 특품수의(대마,중국), 관(솔나무,중국), 생화제단꽃, 리무진(200km 이내 무료), 대형장의버스 등	샘라이프720	720만(월6만원*120회) 순삼베수제직수의(대마,중국), 관(향나무,중국), 생화제단꽃, 리무진, 대형장의버스 등	419,663,586	93,477,250	513,140,836	6,300,840	171,104,000	177,404,840	335,735,996	300,000,000	296	100	35	100	161,928,000	58	KEB하나은행	예치계약	93,477,250		
[폐업](주)신원라이프	남 *  * 	경기-2018-제1호	20110317	1601110129604	305-81-58371	경기도 부천시 부일로 278	경기도 부천시 부일로 278	1588-5583	sin********@naver.com	폐업	20080801	20240731	264 A형	264만원(2.2만*120회)  수의(마 100%), 의전도우미 2명, 장의버스 등	396 A형	396만원(3만*132회)  수의(마 100%), 의전도우미 4명, 고급 장의 리무진, 장의버스 등	396 B형	396만(3만3천*120회)  수의(마 100%), 의전도우미 4명, 고급 장의 리무진, 장의버스 등	15,681,501	1,918,944,613	1,934,626,114	737,142,983	3,221,655,666	3,958,798,649	-2,024,172,535	2,381,500,000	36	100	205	100	2,747,150,000	47	우리은행	예치계약	1,297,824,000		
[폐업]대구토탈상조(주)	박 *  * 	대구-2010-제5호	20101110	1701110150186	502-81-46549	대구 동구 신암2동 486-17번지	상 동	1599-9208	tot********@naver.com	폐업	20050401	20140219	390	30000*130회 수의(명주또는삼베,중국산) 관(오동,중국산), 장의차(100km무료)	300	30000*100회 수의(명주또는삼베,중국산) 관(오동,중국산), 장의차(100km무료)	240	20000*120회 수의(명주또는삼베,중국산) 관(오동,중국산), 장의차(100km무료)	1,499,767,828	110,445,735	1,610,213,563	3,102,881,180	0	3,102,881,180	-1,492,667,617	300,000,000	34	100	193	100	2,000,251,500	40	우리은행	예치계약	800,500,600	우리은행(신암동지점)	053-951-3001
㈜천화	남 *  * 	충북-2011-제5호	20110316	1701110129694	503-81-36404	충청북도 영동군 양산면 양산심천로 144	서울특별시 노원구 동일로230가길 37	070-7016-3300	kjd***@hanmail.net	정상영업	19980107		스몰190	190만원(23,750원*80회/19,000*100회),수의(면+폴리,국내산),관(오동나무,중국산)등	로얄350	350만원(35,000원*100회/28,000*125회/17,500원*200회/14,000원*250회),수의(저마 또는 대마,국내 또는 중국),관(오동나무,중국산),리무진(왕복200km이내제공)	로얄390	390만원(19,500원*200회/15,600원*200회), 수의(대마,국내 또는 중국),관(오동나무,중국산),리무진, 장의버스(왕복200km이내제공)	4,360,626,198	6,952,924,176	11,313,550,374	31,295,485	8,205,230,950	8,236,526,435	3,077,023,939	1,500,000,000	137	100	73	100	8,323,541,150	59	우리은행	예치계약	4,923,627,860	우리은행 대전중앙지점	042-253-8141
태양라이프 주식회사[구,주식회사 올리라이프, 태양상조 주식회사]	김 * 	경남-2018-제1호	20101012	1954110011565	613-81-37622	경상남도 진주시 사들로123번길 42	경상남도 진주시 사들로123번길 42	1588-0393	ty-****@ty-life.co.kr	정상영업	20050520		실버	295만원(25,000원*118회) 수의(대마,중국산), 관(오동나무,중국산), 리무진/버스(택일,200km이내 무료제공) 등	골드	360만원(30,000원*120회) 수의(대마,중국산), 관(오동나무,중국산), 리무진,버스(200km이내 무료제공) 등	프리미엄	480만원(40,000원*120회) 수의(대마,중국산), 관(오동나무,중국산), 리무진,버스(300km이내 무료제공) 등	10,403,184,959	4,840,499,155	15,243,684,114	3,762,086,777	12,401,790,940	16,163,877,717	-920,193,603	1,500,000,000	91	100	106	100	10,638,168,204	50	상조보증공제조합	공제계약	5,319,084,102	상조보증공제조합	1600-1226
[폐업](주)에스에이치라이프	이 *  *  *  *  *  *  * 	부산-2010-10호	20101115	1801110412162	605-81-54047	부산시 부산진구 동평로 420번길 13 6층(양정동, 도성빌딩)	상 동	051-469-3111	sae*****@daum.net	폐업	20020625	20140707	240예사랑 프리미엄	240만(20,000원*120회) 관(오동나무, 중국) 수의(새한일205, 중국) 장의차(관내무료)	360예사랑 프리미엄	360만(30,000원*120회) 관(오동나무, 중국) 수의(대마, 중국) 장의차 리무진(200km무료)	480 예사랑 럭셔리	480만(40,000원*120회) 관(오동나무, 중국) 장의차 리무진(300km무료) 수의(대마특, 중국)	18,318,900	3,542,103,951	3,560,422,851	4,608,208,637	0	4,608,208,637	-1,047,785,786	300,000,000	71	100	129	100	3,720,065,000	50	상조보증공제조합	공제계약	1,860,032,500	상조보증공제조합	1600-1226
